Event ID,Source,Year of Date Time,Latitude,Longitude,Max. Magnitude
2012103010,NEI,1899,52.365,-131.902,6.2
2012102811,NEI,1899,52.674,-132.602,6.3
2012102810,NEI,1899,52.788,-132.101,7.8
2012102410,NEI,1899,10.086,-85.298,6.5
2012102310,NEI,1899,29.057,139.251,6
2012102010,NEI,1899,-13.552,166.564,6.2
2012101710,NEI,1899,4.232,124.52,6.1
2012101210,NEI,1899,-4.892,134.03,6.6
2012100910,NEI,1899,-60.326,153.699,6.6
2012100810,NEI,1899,10.3275,9.7775,6.3
2012100110,NEI,1899,39.808,143.099,6.1
2012093010,NEI,1899,1.929,-76.362,7.3
2012092711,NEI,1899,-8.838,157.456,6
2012092610,NEI,1899,51.592,-178.295,6.4
2012092510,NEI,1899,24.666,-110.173,6.3
2012091410,NEI,1899,-3.319,100.594,6.2
2012090910,NEI,1899,49.247,155.75,6
2012090810,NEI,1899,-3.177,135.109,6.1
2012090510,NEI,1899,-1.1885,40.6025,7.6
2012090310,NEI,1899,-10.708,113.931,6.2
2012083120,NEI,1899,10.811,126.638,7.6
2012083020,NEI,1899,71.441,-10.605,6.8
2012082720,NEI,1899,12.139,-88.59,7.4
2012082620,NEI,1899,2.19,126.837,6.6
2012081920,NEI,1899,-4.766,144.57,6.3
2012081820,NEI,1899,-1.315,120.096,6.3
2012081420,NEI,1899,49.8,145.064,7.7
2012081220,NEI,1899,35.661,82.518,6.3
2012081120,NEI,1899,38.359,46.7855,6.4
2012081020,NEI,1899,52.633,-167.421,6.2
2012080220,NEI,1899,-6.534,39.508,6.1
2012072820,NEI,1899,-4.651,153.173,6.5
2012072620,NEI,1899,-17.592,66.391,6.7
2012072520,NEI,1899,-3.4935,127.886,6.4
2012072020,NEI,1899,49.407,155.907,6.1
2012071820,NEI,1899,-20.872,-178.508,6
2012070820,NEI,1899,45.497,151.288,6
2012070620,NEI,1899,-14.657,167.34,6.3
2012070320,WEL,1899,-40.023,173.756,6.3
2012062920,NEI,1899,43.433,84.7,6.3
2012062420,NEI,1899,57.601,163.195,6.1
2012062320,NEI,1899,3.009,97.896,6.1
2012061920,NEI,1899,53.351,171.619,6.1
2012061720,NEI,1899,38.919,141.831,6.4
2012061020,ATH,1899,36.42,28.88,6
