id,latitude,longitude,iata
6523,40.070985,-74.933689,
323361,38.704022,-101.473911,
6524,59.947733,-151.692524,
6525,34.8647995,-86.77030182,
506791,59.093287,-156.456699,
6526,35.6087,-91.254898,
322127,34.9428028,-97.8180194,
6527,34.30559921,-112.1650009,
6528,35.35474,-116.885329,
324424,39.427188,-121.763427,
322658,32.7273736,-116.4597417,
6529,40.622202,-104.344002,
6531,28.64550018,-82.21900177,
6532,28.8466,-82.345398,
6533,27.23089981,-80.96920013,
6534,33.76750183,-84.06829834,
6535,33.887982,-84.736983,
6536,19.832881,-155.978347,
6537,48.14530182,-116.2139969,
322581,39.724028,-101.395994,
6538,41.644501,-87.122803,
6539,41.978401,-89.560402,
6540,41.51139832,-87.26059723,
6541,40.02560043,-89.12290192,
6542,38.72779846,-94.93049622,
6543,37.40940094,-84.61969757,
45437,30.191944,-90.980833,
6544,39.66529846,-89.70559692,
6545,30.136299,-92.429398,
6546,38.75709915,-75.75379944,
6547,43.94940186,-86.41670227,
6548,46.29999924,-95.70030212,
6549,37.20280075,-94.41239929,
324642,45.675,-110.52515,
6551,39.472998,-75.184346,
6552,36.08520126,-78.37139893,
6553,40.52090073,-74.47460175,
321919,44.8118612,-73.3698057,
506039,35.594729,-75.470002,
6554,42.89576,-77.495263,
6555,41.590476,-84.141583,
6556,39.745091,-84.187278,
328503,36.198598,-96.217693,
6557,44.93289948,-123.1299973,
6558,39.94889832,-75.74690247,
45773,41.2995,-80.211111,
6559,40.3778,-77.365303,
6560,44.181466,-122.086,
6561,34.00939941,-80.26719666,
330391,44.809158,-96.498897,
6562,32.8269,-97.305801,
6563,32.84759903,-97.1894989,
6564,35.51589966,-85.95359802,
6565,32.60760117,-97.24199677,
6566,29.7377,-94.980201,
6567,37.247799,-112.821998,
6568,36.57600021,-78.9991684,
6569,36.66329956,-80.49949646,
6570,46.672884,-117.441933,
6571,47.17839813,-122.7720032,
6572,44.3042984,-89.05010223,
6573,46.25,-117.2490005,
6574,38.82889938,-79.8660965,
322300,42.840361,-106.224443,
6575,33.033401,-101.933998,
6576,62.9435997,-152.2700043,
6577,60.10587398,-149.446249,
6578,32.94599915,-86.51390076,
356168,61.649095,-149.339025,
6579,34.047456,-94.354023,
6580,34.607406,-111.8609,
6581,43.34170151,-85.77500153,
6582,34.368241,-117.370059,
6583,38.79990005,-120.7340012,
6584,34.0378,-118.153999,
6585,39.24530029,-106.2460022,
6586,41.62730026,-72.72750092,
6587,28.58939934,-81.14420319,
6588,28.666639,-81.3697,
6589,28.78190041,-81.15920258,
6590,32.47930145,-84.97910309,
6591,32.675106,-82.771055,
6592,41.66109848,-90.74130249,
6530,42.6082,-112.031998,
6593,39.88499832,-86.50669861,
6594,40.45859909,-87.65950012,
6595,40.13090134,-85.69580078,
6596,39.01620102,-90.31819916,
6597,30.68630028,-81.90570068,
6598,37.036132,-97.58533,
6599,38.54059982,-97.00330353,
6600,37.05170059,-88.64689636,
6601,32.63899994,-91.7736969,
6602,38.12580109,-89.46389771,
6603,30.722478,-91.077372,
6604,42.62509918,-71.18009949,
6605,38.999199,-76.456001,
6606,46.77890015,-68.50029755,
6607,43.04949951,-83.67970276,
6608,47.89960098,-92.55740356,
6609,38.64170074,-90.48429871,
6610,48.78910065,-114.8799973,
356169,32.196747,-110.775142,
6611,34.47529984,-77.58139801,
6612,40.843619,-100.651503,
