Id,Name,Type,Latitude Deg,Longitude Deg
341488,Dixie Range Airstrip,small_airport,28.08089,-98.71609
341489,Bill Rogers Airport,small_airport,33.35731,-93.71983
341492,Donna Field,small_airport,33.8151,-96.73469
341495,Alkali Lake Landing Area,small_airport,38.94085,-119.35925
341496,One Time Airstrip,small_airport,38.99715,-119.4427
341506,Page Ranch Airport,small_airport,35.00937,-101.84228
341510,Pine Lane Landing Strip,small_airport,45.173824,-69.424761
341543,Goose Creek Landing Strip,small_airport,28.85727,-98.53582
341546,Quintanilla Ranch Airport,small_airport,28.43503,-98.51429
341548,Berea-Richmond Airport,small_airport,37.64519,-84.28297
341549,H & J Strip Airport,small_airport,36.258116,-79.485745
341560,Dvoracek Field,small_airport,45.244612,-85.238953
341625,Cider Run Airport,small_airport,45.335037,-122.409505
341645,Pair-A-Dice Airport,small_airport,44.673056,-123.004861
341647,Nelson Airfield,small_airport,35.136528,-89.654722
342001,Santa Rosa Peak Airfield,small_airport,35.367264,-107.236485
342049,Grayson Airport,small_airport,37.845116,-78.54732
342116,Flight Bound Airstrip,small_airport,60.522,-150.7867
342150,Forestdale Landing Strip,small_airport,34.11515,-110.13503
342339,Coffee Point Airstrip,small_airport,58.21393,-157.436654
342341,Blue Mountain Lodge Airstrip,small_airport,57.85424,-157.08532
342358,Randy Briggs Memorial Field,small_airport,57.51641,-157.385951
342378,Goldthwaite Municipal Airport,small_airport,31.429283,-98.608337
342455,Mggenas Airport,small_airport,41.476882,-92.37957
342459,Weston Ranch Ultralight Flightpark,small_airport,44.37166,-121.093056
342473,Hammer Airfield,small_airport,30.317636,-95.857988
342481,Boneyard Airstrip,small_airport,37.66337,-122.02126
342482,Pistol Creek Ranch Landing Strip,small_airport,44.73493,-115.14488
342484,Vines Landing Strip,small_airport,45.13232,-114.99935
342485,Mile Hi Landing Strip,small_airport,45.14925,-115.00018
342486,Simonds Landing Strip,small_airport,45.0843,-115.1256
342487,Dovel Landing Strip,small_airport,45.068,-115.1181
342488,Cedar Mountain Airstrip,small_airport,39.18855,-110.60305
342489,Mexican Mountain Airstrip,small_airport,39.01928,-110.45136
342491,Ragged Island Airstrip,small_airport,43.83524,-68.88627
342492,Searight Airport,small_airport,48.81497,-114.36194
342493,Moose City Airport,small_airport,48.99637,-114.47399
342494,Trailcreek Airport,small_airport,45.50194,-110.70615
